fecha,cierre
2026-06-01,122.7000
2026-06-02,123.1000
2026-06-03,124.8000
2026-06-04,125.8000
2026-06-05,125.9000
2026-06-08,124.1000
2026-06-09,117.1000
2026-06-10,117.8000
2026-06-11,123.6000
2026-06-12,125.5000
2026-06-15,124.7000
2026-06-16,126.1000
2026-06-17,128.7000
2026-06-18,130.4000
2026-06-19,130.5000
2026-06-22,134.3000
2026-06-23,130.2000
2026-06-24,129.9000
2026-06-25,129.1000
2026-06-26,127.9000
2026-06-29,126.3000
2026-06-30,128.7000
2026-07-01,124.1000
2026-07-02,122.9000
2026-07-03,124.5000
2026-07-06,124.1000
2026-07-07,120.3000
2026-07-08,118.4000
2026-07-09,120.6000
2026-07-10,120.0000
2026-07-13,118.8000
2026-07-14,119.8000
2026-07-15,120.4000
2026-07-16,118.9000
2026-07-17,117.7000
2026-07-20,116.9000
2026-07-21,117.9000
2026-07-22,117.1000
2026-07-23,114.7000
2026-07-24,114.7000
2026-07-27,108.9000
2026-07-28,107.5000
2026-07-29,106.1000
2026-07-30,109.6000
2026-07-31,110.3000
2026-08-03,110.2000
2026-08-04,110.8000
2026-08-05,109.9000
2026-08-06,109.3000
2026-08-07,109.0000
2026-08-10,109.1000
2026-08-11,108.3000
