fecha,cierre
2026-06-01,5.3300
2026-06-02,5.4000
2026-06-03,5.2800
2026-06-04,5.3400
2026-06-05,5.1800
2026-06-08,5.1500
2026-06-09,5.0000
2026-06-10,4.9500
2026-06-11,5.1400
2026-06-12,5.2400
2026-06-15,5.2300
2026-06-16,5.3000
2026-06-17,5.3800
2026-06-18,5.1400
2026-06-19,5.1000
2026-06-22,5.1100
2026-06-23,5.1400
2026-06-24,5.1000
2026-06-25,5.0400
2026-06-26,5.1000
2026-06-29,5.2500
2026-06-30,5.1900
2026-07-01,5.1500
2026-07-02,5.2500
2026-07-03,5.1600
2026-07-06,5.3300
2026-07-07,5.3100
2026-07-08,5.1900
2026-07-09,5.2600
2026-07-10,5.2600
2026-07-13,5.4500
2026-07-14,5.3400
2026-07-15,5.2900
2026-07-16,5.2900
2026-07-17,5.1800
2026-07-20,5.1800
2026-07-21,5.0000
2026-07-22,5.0000
2026-07-23,4.8100
2026-07-24,4.6200
2026-07-27,4.6700
2026-07-28,4.5900
2026-07-29,4.6400
2026-07-30,4.9500
2026-07-31,4.7400
2026-08-03,4.7800
2026-08-04,4.8300
2026-08-05,4.8500
2026-08-06,4.8700
2026-08-07,4.8800
2026-08-10,4.8700
2026-08-11,4.8600
2026-08-12,4.8700
