fecha,cierre
2026-06-01,244.2000
2026-06-02,247.4000
2026-06-03,245.8000
2026-06-04,243.6000
2026-06-05,246.2000
2026-06-08,243.0000
2026-06-09,241.4000
2026-06-10,233.6000
2026-06-11,235.2000
2026-06-12,259.6000
2026-06-15,252.6000
2026-06-16,251.8000
2026-06-17,263.2000
2026-06-18,266.8000
2026-06-19,281.2000
2026-06-22,284.4000
2026-06-23,278.6000
2026-06-24,272.0000
2026-06-25,267.4000
2026-06-26,269.4000
2026-06-29,273.0000
2026-06-30,277.2000
2026-07-01,272.6000
2026-07-02,268.6000
2026-07-03,273.4000
2026-07-06,266.4000
2026-07-07,252.4000
2026-07-08,243.2000
2026-07-09,250.6000
2026-07-10,250.2000
2026-07-13,249.2000
2026-07-14,251.4000
2026-07-15,249.6000
2026-07-16,248.0000
2026-07-17,244.8000
2026-07-20,248.2000
2026-07-21,252.4000
2026-07-22,252.8000
2026-07-23,246.6000
2026-07-24,247.6000
2026-07-27,242.6000
2026-07-28,237.8000
2026-07-29,243.0000
2026-07-30,252.2000
2026-07-31,238.6000
2026-08-03,231.2000
2026-08-04,214.6000
2026-08-05,209.0000
2026-08-06,213.0000
2026-08-07,213.0000
2026-08-10,208.8000
2026-08-11,211.6000
2026-08-12,215.0000
2026-08-13,210.6000
2026-08-14,209.6000
2026-08-17,210.6000
2026-08-18,210.4000
2026-08-19,209.8000
