fecha,cierre
2026-06-01,2.7300
2026-06-02,2.7500
2026-06-03,2.7900
2026-06-04,2.8100
2026-06-05,2.7700
2026-06-08,2.7000
2026-06-09,2.6600
2026-06-10,2.6900
2026-06-11,2.6700
2026-06-12,2.6600
2026-06-15,2.6600
2026-06-16,2.6400
2026-06-17,2.6900
2026-06-18,2.7100
2026-06-19,2.6500
2026-06-22,2.5800
2026-06-23,2.5900
2026-06-24,2.5700
2026-06-25,2.5800
2026-06-26,2.5800
2026-06-29,2.5500
2026-06-30,2.5400
2026-07-01,2.5300
2026-07-02,2.5200
2026-07-03,2.5400
2026-07-06,2.5800
2026-07-07,2.5700
2026-07-08,2.5200
2026-07-09,2.5000
2026-07-10,2.4800
2026-07-13,2.4900
2026-07-14,2.4100
2026-07-15,2.3400
2026-07-16,2.4200
2026-07-17,2.3700
2026-07-20,2.4300
2026-07-21,2.4500
2026-07-22,2.5000
2026-07-23,2.4500
2026-07-24,2.4800
2026-07-27,2.5300
2026-07-28,2.5100
2026-07-29,2.5600
2026-07-30,2.6500
2026-07-31,2.6000
2026-08-03,2.6200
2026-08-04,2.5700
2026-08-05,2.6100
2026-08-06,2.6600
2026-08-07,2.6500
2026-08-10,2.6100
2026-08-11,2.6200
2026-08-12,2.6000
2026-08-13,2.6000
2026-08-14,2.5700
2026-08-17,2.6000
2026-08-18,2.5700
2026-08-19,2.5500
2026-08-20,2.5500
2026-08-21,2.5300
2026-08-24,2.5600
2026-08-25,2.5200
2026-08-26,2.5600
2026-08-27,2.5600
2026-08-28,2.5600
2026-08-31,2.5100
2026-09-01,2.5200
2026-09-02,2.5100
2026-09-03,2.5000
2026-09-04,2.5200
2026-09-07,2.5000
2026-09-08,2.4800
2026-09-09,2.5000
