fecha,cierre
2026-06-01,0.6000
2026-06-02,0.5900
2026-06-03,0.6000
2026-06-04,0.6000
2026-06-05,0.6000
2026-06-08,0.6000
2026-06-09,0.6100
2026-06-10,0.6100
2026-06-11,0.6200
2026-06-12,0.6300
2026-06-15,0.6400
2026-06-16,0.6300
2026-06-17,0.6300
2026-06-18,0.6400
2026-06-19,0.6300
2026-06-22,0.6300
2026-06-23,0.6300
2026-06-24,0.6300
2026-06-25,0.6300
2026-06-26,0.6400
2026-06-29,0.6400
2026-06-30,0.6300
2026-07-01,0.6200
2026-07-02,0.6300
2026-07-03,0.6300
2026-07-06,0.6400
2026-07-07,0.6400
2026-07-08,0.6300
2026-07-09,0.6400
2026-07-10,0.6400
2026-07-13,0.6500
2026-07-14,0.6500
2026-07-15,0.6500
2026-07-16,0.6600
2026-07-17,0.6700
2026-07-20,0.6700
2026-07-21,0.6800
2026-07-22,0.6900
2026-07-23,0.6900
2026-07-24,0.6800
2026-07-27,0.6800
2026-07-28,0.6800
2026-07-29,0.6800
2026-07-30,0.6700
2026-07-31,0.6700
2026-08-03,0.6700
2026-08-04,0.6800
2026-08-05,0.6700
2026-08-06,0.6700
2026-08-07,0.6700
2026-08-10,0.6600
2026-08-11,0.6600
2026-08-12,0.6600
2026-08-13,0.6600
2026-08-14,0.6700
