fecha,cierre
2026-06-01,5.6800
2026-06-02,5.7900
2026-06-03,5.6700
2026-06-04,5.5600
2026-06-05,5.5300
2026-06-08,5.5600
2026-06-09,5.6400
2026-06-10,5.7100
2026-06-11,5.6600
2026-06-12,5.7100
2026-06-15,5.7100
2026-06-16,5.7000
2026-06-17,5.6400
2026-06-18,5.6300
2026-06-19,5.6400
2026-06-22,5.6600
2026-06-23,5.6000
2026-06-24,5.6800
2026-06-25,5.6600
2026-06-26,5.7300
2026-06-29,5.6900
2026-06-30,5.6700
2026-07-01,5.6200
2026-07-02,5.7000
2026-07-03,5.6900
2026-07-06,5.6600
2026-07-07,5.6500
2026-07-08,5.5600
2026-07-09,5.3500
2026-07-10,5.4500
2026-07-13,5.4100
2026-07-14,5.4400
2026-07-15,5.4300
2026-07-16,5.4900
2026-07-17,5.5800
2026-07-20,5.5700
2026-07-21,5.5000
2026-07-22,5.5400
2026-07-23,5.5600
2026-07-24,5.6100
2026-07-27,5.6600
2026-07-28,5.6400
2026-07-29,5.6400
2026-07-30,5.6500
2026-07-31,5.5500
2026-08-03,5.5900
2026-08-04,5.6400
2026-08-05,5.5900
2026-08-06,5.5600
2026-08-07,5.5800
2026-08-10,5.5200
2026-08-11,5.5600
2026-08-12,5.6000
2026-08-13,5.6100
2026-08-14,5.6000
2026-08-17,5.5100
2026-08-18,5.4200
2026-08-19,5.4100
2026-08-20,5.4200
2026-08-21,5.4700
2026-08-24,5.4800
2026-08-25,5.5100
2026-08-26,5.4600
2026-08-27,5.3900
