fecha,cierre
2026-06-01,3.1800
2026-06-02,3.1800
2026-06-03,3.1700
2026-06-04,3.1900
2026-06-05,3.1700
2026-06-08,3.1000
2026-06-09,3.0600
2026-06-10,3.0400
2026-06-11,3.0400
2026-06-12,3.0600
2026-06-15,3.1100
2026-06-16,3.1500
2026-06-17,3.1400
2026-06-18,3.1100
2026-06-19,3.1100
2026-06-22,3.0900
2026-06-23,3.0800
2026-06-24,3.0300
2026-06-25,3.0100
2026-06-26,2.9800
2026-06-29,2.9700
2026-06-30,2.9800
2026-07-01,2.9700
2026-07-02,3.0300
2026-07-03,3.0500
2026-07-06,3.0400
2026-07-07,3.0000
2026-07-08,2.8700
2026-07-09,2.9200
2026-07-10,2.8800
2026-07-13,2.8700
2026-07-14,2.8900
2026-07-15,2.8900
2026-07-16,2.8900
2026-07-17,2.8700
2026-07-20,2.8700
2026-07-21,2.9000
2026-07-22,2.9200
2026-07-23,2.7900
2026-07-24,2.7800
2026-07-27,2.7900
2026-07-28,2.8100
2026-07-29,2.8000
2026-07-30,2.8300
2026-07-31,2.8300
2026-08-03,2.8400
2026-08-04,2.8300
2026-08-05,2.8200
2026-08-06,2.8000
2026-08-07,2.8000
