fecha,cierre
2026-06-01,3.4600
2026-06-02,3.4700
2026-06-03,3.4600
2026-06-04,3.4600
2026-06-05,3.4600
2026-06-08,3.4600
2026-06-09,3.4600
2026-06-10,3.4600
2026-06-11,3.4700
2026-06-12,3.4700
2026-06-15,3.4700
2026-06-16,3.4800
2026-06-17,3.4700
2026-06-18,3.4700
2026-06-19,3.4600
2026-06-22,3.4700
2026-06-23,3.4700
2026-06-24,3.4600
2026-06-25,3.4600
2026-06-26,3.4700
2026-06-29,3.4700
2026-06-30,3.4800
2026-07-01,3.4700
2026-07-02,3.4700
2026-07-03,3.4800
2026-07-06,3.4700
2026-07-07,3.4800
2026-07-08,3.4800
2026-07-09,3.4800
2026-07-10,3.4800
2026-07-13,3.4800
2026-07-14,3.4800
2026-07-15,3.4800
2026-07-16,3.4800
2026-07-17,3.4800
2026-07-20,3.4800
2026-07-21,3.4800
2026-07-22,3.4800
2026-07-23,3.4800
2026-07-24,3.4800
2026-07-27,3.4800
2026-07-28,3.4800
2026-07-29,3.4900
2026-07-30,3.4800
2026-07-31,3.4800
2026-08-03,3.4800
2026-08-04,3.4800
2026-08-05,3.4900
2026-08-06,3.4900
2026-08-07,3.4900
2026-08-10,3.4900
2026-08-11,3.4900
2026-08-12,3.5000
2026-08-13,3.4900
2026-08-14,3.4900
2026-08-17,3.4900
2026-08-18,3.4900
2026-08-19,3.4900
2026-08-20,3.5000
