fecha,cierre
2026-06-01,4.5600
2026-06-02,4.5300
2026-06-03,4.5400
2026-06-04,4.5700
2026-06-05,4.5700
2026-06-08,4.5300
2026-06-09,4.5200
2026-06-10,4.5300
2026-06-11,4.5500
2026-06-12,4.5200
2026-06-15,4.5200
2026-06-16,4.5100
2026-06-17,4.6200
2026-06-18,4.5300
2026-06-19,4.5600
2026-06-22,4.5700
2026-06-23,4.6500
2026-06-24,4.6000
2026-06-25,4.6200
2026-06-26,4.6200
2026-06-29,4.6200
2026-06-30,4.5900
2026-07-01,4.5500
2026-07-02,4.6500
2026-07-03,4.6300
2026-07-06,4.5600
2026-07-07,4.5900
2026-07-08,4.5200
2026-07-09,4.5300
2026-07-10,4.4800
2026-07-13,4.4000
2026-07-14,4.3500
2026-07-15,4.3500
2026-07-16,4.3900
2026-07-17,4.3900
2026-07-20,4.3500
2026-07-21,4.3600
2026-07-22,4.5500
2026-07-23,4.5400
2026-07-24,4.5700
2026-07-27,4.6100
2026-07-28,4.6100
2026-07-29,4.6400
2026-07-30,4.5300
2026-07-31,4.5600
2026-08-03,4.5000
2026-08-04,4.5000
2026-08-05,4.5100
2026-08-06,4.5400
2026-08-07,4.5200
2026-08-10,4.5200
2026-08-11,4.5200
2026-08-12,4.5400
2026-08-13,4.5500
2026-08-14,4.5200
2026-08-17,4.4800
2026-08-18,4.4800
2026-08-19,4.5100
2026-08-20,4.5500
2026-08-21,4.5700
2026-08-24,4.5100
2026-08-25,4.5600
2026-08-26,4.5500
2026-08-27,4.5700
2026-08-28,4.5600
2026-08-31,4.5100
2026-09-01,4.4800
2026-09-02,4.5000
2026-09-03,4.5400
