fecha,cierre
2026-06-01,3.2000
2026-06-02,3.3000
2026-06-03,3.2800
2026-06-04,3.1700
2026-06-05,3.1600
2026-06-08,3.1100
2026-06-09,3.0600
2026-06-10,3.0900
2026-06-11,3.1000
2026-06-12,3.1600
2026-06-15,3.1800
2026-06-16,3.1500
2026-06-17,3.1100
2026-06-18,3.0700
2026-06-19,3.0800
2026-06-22,3.1100
2026-06-23,3.0700
2026-06-24,3.0200
2026-06-25,2.9900
2026-06-26,2.9000
2026-06-29,2.8700
2026-06-30,2.8600
2026-07-01,2.8300
2026-07-02,2.8700
2026-07-03,2.9600
2026-07-06,2.9400
2026-07-07,2.9100
2026-07-08,2.8400
2026-07-09,2.8600
2026-07-10,2.8800
2026-07-13,2.8700
2026-07-14,2.8400
2026-07-15,2.8400
2026-07-16,2.8600
2026-07-17,2.8400
2026-07-20,2.8000
2026-07-21,2.7900
2026-07-22,2.8300
2026-07-23,2.7800
2026-07-24,2.8000
2026-07-27,2.8000
2026-07-28,2.8100
2026-07-29,2.8400
2026-07-30,2.8700
2026-07-31,2.9300
2026-08-03,2.9900
2026-08-04,3.0000
2026-08-05,3.0300
2026-08-06,3.0000
2026-08-07,3.0200
