fecha,cierre
2026-06-01,9.2100
2026-06-02,9.1000
2026-06-03,8.9700
2026-06-04,9.0500
2026-06-05,9.0600
2026-06-08,8.9700
2026-06-09,8.9300
2026-06-10,8.9400
2026-06-11,8.8300
2026-06-12,9.0300
2026-06-15,9.0900
2026-06-16,9.0500
2026-06-17,9.0000
2026-06-18,9.0100
2026-06-19,9.1000
2026-06-22,9.0300
2026-06-23,8.9500
2026-06-24,8.9900
2026-06-25,9.0900
2026-06-26,9.1300
2026-06-29,9.0000
2026-06-30,8.9600
2026-07-01,8.9200
2026-07-02,9.1100
2026-07-03,9.0200
2026-07-06,9.0600
2026-07-07,9.0400
2026-07-08,9.0000
2026-07-09,8.9900
2026-07-10,8.9000
2026-07-13,8.9100
2026-07-14,8.8400
2026-07-15,9.0200
2026-07-16,9.1300
2026-07-17,9.0800
2026-07-20,9.4200
2026-07-21,9.5700
2026-07-22,9.7400
2026-07-23,9.4000
2026-07-24,9.6600
2026-07-27,9.8500
2026-07-28,9.9900
2026-07-29,10.3600
2026-07-30,10.3900
2026-07-31,9.9600
2026-08-03,10.0600
2026-08-04,10.2000
2026-08-05,10.2100
2026-08-06,10.1100
2026-08-07,10.1800
2026-08-10,10.0000
2026-08-11,10.1200
2026-08-12,10.0800
2026-08-13,10.1500
2026-08-14,9.8600
2026-08-17,9.8100
2026-08-18,9.7600
2026-08-19,10.0800
2026-08-20,10.0000
2026-08-21,9.9100
2026-08-24,9.8800
2026-08-25,10.0500
2026-08-26,10.0400
2026-08-27,10.0600
2026-08-28,9.9500
2026-08-31,9.8300
2026-09-01,9.9300
2026-09-02,9.9000
2026-09-03,9.9300
2026-09-04,9.8900
2026-09-07,9.8200
2026-09-08,10.0000
