fecha,cierre
2026-06-01,4.8500
2026-06-02,4.8600
2026-06-03,4.8600
2026-06-04,4.8700
2026-06-05,4.8700
2026-06-08,4.7900
2026-06-09,4.7500
2026-06-10,4.7100
2026-06-11,4.7100
2026-06-12,5.0500
2026-06-15,5.1900
2026-06-16,5.2500
2026-06-17,5.2400
2026-06-18,5.3300
2026-06-19,5.2500
2026-06-22,5.3900
2026-06-23,5.4200
2026-06-24,5.5700
2026-06-25,5.6600
2026-06-26,5.5900
2026-06-29,5.5100
2026-06-30,5.5400
2026-07-01,5.4500
2026-07-02,5.5800
2026-07-03,5.5700
2026-07-06,5.6600
2026-07-07,5.5900
2026-07-08,5.3400
2026-07-09,5.4600
2026-07-10,5.5200
2026-07-13,5.4000
2026-07-14,5.3700
2026-07-15,5.3600
2026-07-16,5.2900
2026-07-17,5.2200
2026-07-20,5.1600
2026-07-21,5.1800
2026-07-22,5.1500
2026-07-23,4.9500
2026-07-24,5.0800
2026-07-27,5.1600
2026-07-28,5.2000
2026-07-29,5.0500
2026-07-30,5.1300
2026-07-31,5.0500
2026-08-03,5.0600
2026-08-04,5.1000
2026-08-05,5.1800
2026-08-06,5.2000
2026-08-07,5.1600
2026-08-10,5.1000
2026-08-11,5.1500
2026-08-12,5.1700
2026-08-13,5.1800
2026-08-14,5.1800
2026-08-17,5.1100
2026-08-18,4.9800
2026-08-19,4.9800
2026-08-20,4.8900
2026-08-21,4.9400
2026-08-24,5.0500
2026-08-25,5.1600
2026-08-26,5.1500
2026-08-27,5.0900
2026-08-28,5.1200
2026-08-31,5.0100
2026-09-01,4.9400
2026-09-02,4.9000
