fecha,cierre
2026-06-01,55.8800
2026-06-02,53.9600
2026-06-03,53.6200
2026-06-04,54.4000
2026-06-05,55.4400
2026-06-08,56.9000
2026-06-09,54.5000
2026-06-10,53.9600
2026-06-11,54.9400
2026-06-12,56.0400
2026-06-15,54.9000
2026-06-16,55.4200
2026-06-17,56.5800
2026-06-18,53.7400
2026-06-19,55.0600
2026-06-22,53.6000
2026-06-23,53.3800
2026-06-24,51.1000
2026-06-25,47.3900
2026-06-26,46.9200
2026-06-29,48.1000
2026-06-30,47.9200
2026-07-01,49.5400
2026-07-02,51.7000
2026-07-03,51.4400
2026-07-06,52.3200
2026-07-07,51.3800
2026-07-08,50.6000
2026-07-09,49.6000
2026-07-10,47.4500
2026-07-13,47.1200
2026-07-14,48.8700
2026-07-15,49.2200
2026-07-16,48.6600
2026-07-17,48.9900
2026-07-20,49.7500
2026-07-21,50.6800
2026-07-22,51.1000
2026-07-23,54.7200
2026-07-24,53.3600
2026-07-27,56.0600
2026-07-28,57.3600
2026-07-29,55.9600
2026-07-30,56.1800
2026-07-31,56.8000
2026-08-03,58.5800
2026-08-04,59.6000
2026-08-05,61.4200
2026-08-06,61.3600
2026-08-07,63.1600
2026-08-10,64.1400
