fecha,cierre
2026-06-01,9.6600
2026-06-02,9.8600
2026-06-03,9.7400
2026-06-04,9.6000
2026-06-05,9.6000
2026-06-08,9.5200
2026-06-09,9.7600
2026-06-10,9.7600
2026-06-11,9.6000
2026-06-12,9.7800
2026-06-15,9.8000
2026-06-16,9.7000
2026-06-17,9.7000
2026-06-18,9.5400
2026-06-19,9.7800
2026-06-22,9.7800
2026-06-23,9.5600
2026-06-24,9.9000
2026-06-25,9.7000
2026-06-26,9.7000
2026-06-29,9.7600
2026-06-30,9.7600
2026-07-01,9.6800
2026-07-02,9.7800
2026-07-03,9.6800
2026-07-06,9.9000
2026-07-07,9.9000
2026-07-08,9.9000
2026-07-09,9.9000
2026-07-10,9.9000
2026-07-13,9.9000
2026-07-14,9.7000
2026-07-15,9.6000
2026-07-16,9.4800
2026-07-17,9.3000
2026-07-20,9.3200
2026-07-21,9.2800
2026-07-22,9.4000
2026-07-23,9.3800
2026-07-24,9.4000
2026-07-27,9.4000
2026-07-28,9.5000
2026-07-29,9.5000
2026-07-30,9.5800
2026-07-31,9.7200
2026-08-03,9.6200
2026-08-04,9.5000
2026-08-05,9.5000
2026-08-06,9.2400
2026-08-07,9.3000
2026-08-10,9.3000
2026-08-11,9.5800
2026-08-12,9.7000
2026-08-13,9.9000
2026-08-14,9.7600
2026-08-17,9.8000
2026-08-18,9.8000
2026-08-19,9.8000
2026-08-20,9.8000
2026-08-21,9.5400
2026-08-24,9.9000
2026-08-25,9.8200
2026-08-26,9.5800
2026-08-27,9.5800
2026-08-28,9.5200
2026-08-31,9.9000
2026-09-01,9.8000
2026-09-02,9.8000
2026-09-03,9.8000
2026-09-04,10.0000
2026-09-07,10.0000
