fecha,cierre
2026-06-01,2.6000
2026-06-02,2.5900
2026-06-03,2.5600
2026-06-04,2.6000
2026-06-05,2.6100
2026-06-08,2.5700
2026-06-09,2.5800
2026-06-10,2.6100
2026-06-11,2.6200
2026-06-12,2.6800
2026-06-15,2.7200
2026-06-16,2.7100
2026-06-17,2.6900
2026-06-18,2.6700
2026-06-19,2.6900
2026-06-22,2.6600
2026-06-23,2.6900
2026-06-24,2.6800
2026-06-25,2.6800
2026-06-26,2.7100
2026-06-29,2.7100
2026-06-30,2.7100
2026-07-01,2.7200
2026-07-02,2.7700
2026-07-03,2.8100
2026-07-06,2.8300
2026-07-07,2.8400
2026-07-08,2.7600
2026-07-09,2.8000
2026-07-10,2.8000
2026-07-13,2.8700
2026-07-14,2.8600
2026-07-15,2.8700
2026-07-16,2.8900
2026-07-17,2.9100
2026-07-20,3.0000
2026-07-21,3.0500
2026-07-22,3.1300
2026-07-23,3.2000
2026-07-24,3.2400
2026-07-27,3.2400
2026-07-28,3.2500
2026-07-29,3.3000
2026-07-30,3.2500
2026-07-31,3.0200
2026-08-03,3.0200
2026-08-04,3.0100
2026-08-05,3.0000
2026-08-06,2.9700
2026-08-07,2.9600
2026-08-10,2.9100
