fecha,cierre
2026-06-01,3.9900
2026-06-02,3.9700
2026-06-03,3.9400
2026-06-04,3.9100
2026-06-05,3.8800
2026-06-08,3.8900
2026-06-09,3.8700
2026-06-10,3.9400
2026-06-11,3.9200
2026-06-12,3.9500
2026-06-15,3.9100
2026-06-16,3.7400
2026-06-17,3.7300
2026-06-18,3.7100
2026-06-19,3.6900
2026-06-22,3.6000
2026-06-23,3.6900
2026-06-24,3.6800
2026-06-25,3.6800
2026-06-26,3.6500
2026-06-29,3.5900
2026-06-30,3.5200
2026-07-01,3.4600
2026-07-02,3.5500
2026-07-03,3.5500
2026-07-06,3.4800
2026-07-07,3.5400
2026-07-08,3.5100
2026-07-09,3.4800
2026-07-10,3.5300
2026-07-13,3.6200
2026-07-14,3.6200
2026-07-15,3.5900
2026-07-16,3.6000
2026-07-17,3.6200
2026-07-20,3.5800
2026-07-21,3.5500
2026-07-22,3.6200
2026-07-23,3.5900
2026-07-24,3.6000
2026-07-27,3.6600
2026-07-28,3.7300
2026-07-29,3.6700
2026-07-30,3.6000
2026-07-31,3.5800
2026-08-03,3.6600
2026-08-04,3.6600
2026-08-05,3.6100
2026-08-06,3.7000
2026-08-07,3.6700
2026-08-10,3.6400
2026-08-11,3.6700
2026-08-12,3.6400
2026-08-13,3.6700
2026-08-14,3.6800
2026-08-17,3.6700
2026-08-18,3.6800
2026-08-19,3.7000
2026-08-20,3.6700
2026-08-21,3.6200
2026-08-24,3.6500
2026-08-25,3.6800
2026-08-26,3.6100
2026-08-27,3.6000
2026-08-28,3.6300
2026-08-31,3.6500
2026-09-01,3.6300
2026-09-02,3.6600
2026-09-03,3.6800
2026-09-04,3.6800
2026-09-07,3.6100
