fecha,cierre
2026-06-01,2.7000
2026-06-02,2.7000
2026-06-03,2.7000
2026-06-04,2.8000
2026-06-05,2.7500
2026-06-08,2.7200
2026-06-09,2.6900
2026-06-10,2.6800
2026-06-11,2.6700
2026-06-12,2.6800
2026-06-15,2.6800
2026-06-16,2.6800
2026-06-17,2.6600
2026-06-18,2.6500
2026-06-19,2.6300
2026-06-22,2.6600
2026-06-23,2.6900
2026-06-24,2.6800
2026-06-25,2.6700
2026-06-26,2.6400
2026-06-29,2.6500
2026-06-30,2.6500
2026-07-01,2.6100
2026-07-02,2.7200
2026-07-03,2.7300
2026-07-06,2.7100
2026-07-07,2.6900
2026-07-08,2.6700
2026-07-09,2.6800
2026-07-10,2.6700
2026-07-13,2.7000
2026-07-14,2.6700
2026-07-15,2.6800
2026-07-16,2.6900
2026-07-17,2.7300
2026-07-20,2.7000
2026-07-21,2.7200
2026-07-22,2.7300
2026-07-23,2.7300
2026-07-24,2.7300
2026-07-27,2.7300
2026-07-28,2.7500
2026-07-29,2.7300
2026-07-30,2.7200
2026-07-31,2.7300
2026-08-03,2.7300
2026-08-04,2.7300
2026-08-05,2.7200
2026-08-06,2.7200
2026-08-07,2.7300
2026-08-10,2.7300
2026-08-11,2.7400
2026-08-12,2.7500
2026-08-13,2.7600
2026-08-14,2.7300
2026-08-17,2.7100
2026-08-18,2.7100
2026-08-19,2.6900
