fecha,cierre
2026-06-01,31.0800
2026-06-02,30.3800
2026-06-03,31.1000
2026-06-04,32.0800
2026-06-05,32.0000
2026-06-08,31.3400
2026-06-09,30.5800
2026-06-10,30.3000
2026-06-11,30.6600
2026-06-12,32.1000
2026-06-15,35.3600
2026-06-16,34.9400
2026-06-17,34.7600
2026-06-18,33.4600
2026-06-19,33.0600
2026-06-22,32.4200
2026-06-23,32.0200
2026-06-24,31.8000
2026-06-25,31.5000
2026-06-26,30.0400
2026-06-29,29.7200
2026-06-30,28.9000
2026-07-01,29.6000
2026-07-02,30.0000
2026-07-03,32.2000
2026-07-06,32.5200
2026-07-07,30.6000
2026-07-08,29.0800
2026-07-09,29.8600
2026-07-10,29.5000
2026-07-13,29.2000
2026-07-14,28.8000
2026-07-15,29.8400
2026-07-16,29.2800
2026-07-17,29.4400
2026-07-20,28.8200
2026-07-21,29.0600
2026-07-22,29.6400
2026-07-23,28.9200
2026-07-24,29.1400
2026-07-27,28.5800
2026-07-28,27.5800
2026-07-29,27.4000
2026-07-30,28.3000
2026-07-31,28.2800
2026-08-03,28.2000
2026-08-04,28.5400
2026-08-05,27.8600
2026-08-06,27.8600
2026-08-07,27.5800
2026-08-10,27.2000
2026-08-11,27.3400
2026-08-12,27.2400
2026-08-13,28.2200
2026-08-14,28.4400
2026-08-17,28.0200
2026-08-18,27.1400
2026-08-19,27.3200
2026-08-20,27.5000
2026-08-21,27.3600
2026-08-24,26.8400
2026-08-25,27.0200
2026-08-26,27.5000
2026-08-27,27.2600
2026-08-28,27.1200
2026-08-31,26.4200
2026-09-01,26.3400
2026-09-02,25.0800
