fecha,cierre
2026-06-01,2.8400
2026-06-02,2.8500
2026-06-03,2.8000
2026-06-04,2.8300
2026-06-05,2.8200
2026-06-08,2.8100
2026-06-09,2.8000
2026-06-10,2.8200
2026-06-11,2.8600
2026-06-12,2.9600
2026-06-15,3.0100
2026-06-16,3.0400
2026-06-17,3.1200
2026-06-18,3.1200
2026-06-19,3.1500
2026-06-22,3.1900
2026-06-23,3.1800
2026-06-24,3.1000
2026-06-25,3.0900
2026-06-26,3.0900
2026-06-29,3.0800
2026-06-30,3.1200
2026-07-01,3.1800
2026-07-02,3.2100
2026-07-03,3.2200
2026-07-06,3.2400
2026-07-07,3.2400
2026-07-08,3.1600
2026-07-09,3.2500
2026-07-10,3.2700
2026-07-13,3.2700
2026-07-14,3.2700
2026-07-15,3.2500
2026-07-16,3.2600
2026-07-17,3.2200
2026-07-20,3.2400
2026-07-21,3.3100
2026-07-22,3.3400
2026-07-23,3.2600
2026-07-24,3.3700
2026-07-27,3.3500
2026-07-28,3.3100
2026-07-29,3.1800
2026-07-30,3.2500
2026-07-31,3.3300
2026-08-03,3.3700
2026-08-04,3.4200
2026-08-05,3.4500
2026-08-06,3.5200
2026-08-07,3.5100
2026-08-10,3.5400
2026-08-11,3.5300
2026-08-12,3.5600
2026-08-13,3.5800
2026-08-14,3.6200
2026-08-17,3.6100
2026-08-18,3.5900
2026-08-19,3.5300
2026-08-20,3.5400
2026-08-21,3.5600
2026-08-24,3.6000
2026-08-25,3.5800
2026-08-26,3.5700
2026-08-27,3.5500
2026-08-28,3.5600
2026-08-31,3.5300
2026-09-01,3.5600
2026-09-02,3.5900
2026-09-03,3.6400
2026-09-04,3.6500
2026-09-07,3.6100
2026-09-08,3.5900
2026-09-09,3.5700
