fecha,cierre
2026-06-01,0.8000
2026-06-02,0.8100
2026-06-03,0.8500
2026-06-04,0.8800
2026-06-05,0.9100
2026-06-08,0.9800
2026-06-09,0.9800
2026-06-10,0.9700
2026-06-11,0.9500
2026-06-12,0.9400
2026-06-15,0.9000
2026-06-16,0.8800
2026-06-17,0.8700
2026-06-18,0.8700
2026-06-19,0.8200
2026-06-22,0.8400
2026-06-23,0.8400
2026-06-24,0.8400
2026-06-25,0.8300
2026-06-26,0.8100
2026-06-29,0.8100
2026-06-30,0.8100
2026-07-01,0.7900
2026-07-02,0.7900
2026-07-03,0.8400
2026-07-06,0.8000
2026-07-07,0.8000
2026-07-08,0.7900
2026-07-09,0.7800
2026-07-10,0.8200
2026-07-13,0.8000
2026-07-14,0.8100
2026-07-15,0.8000
2026-07-16,0.8000
2026-07-17,0.7900
2026-07-20,0.8000
2026-07-21,0.7800
2026-07-22,0.8000
2026-07-23,0.8000
2026-07-24,0.7800
2026-07-27,0.7900
2026-07-28,0.8100
2026-07-29,0.8300
2026-07-30,0.8300
2026-07-31,0.8300
2026-08-03,0.8300
2026-08-04,0.8300
2026-08-05,0.8000
2026-08-06,0.8000
2026-08-07,0.8000
2026-08-10,0.8000
2026-08-11,0.7900
2026-08-12,0.7800
2026-08-13,0.8300
2026-08-14,0.8000
2026-08-17,0.8000
2026-08-18,0.7900
2026-08-19,0.7800
